bv:speed, pr:sped, pp:sped	aller vite
bv:spell, pr:spelt, pp:spelt	épeler, orthographier
bv:spend, pr:spent, pp:spent	dépenser, passer du temps
bv:spill, pr:spilt, spilled, pp:spilt, spilled	renverser
bv:spin, pr:spun, pp:spun	tourner, faire tourner
bv:spit, pr:spat, spit, pp:spat, spit	cracher
bv:split, pr:split, pp:split	fendre
bv:spoil, pr:spoilt, pp:spoilt	gâcher, gâter
bv:spread, pr:spread, pp:spread	répandre
bv:spring, pr:sprang, pp:sprung	surgir, jaillir, bondir
bv:stand, pr:stood, pp:stood	être debout
bv:steal, pr:stole, pp:stolen	voler, dérober
bv:stick, pr:stuck, pp:stuck	coller
bv:sting, pr:stung, pp:stung	piquer
bv:stink, pr:stank, pp:stunk	puer
bv:strew, pr:strewed, pp:strewn, strewed	éparpiller
bv:strike, pr:struck, pp:stricken, struck	frapper
bv:strive, pr:strove, pp:striven	s'efforcer
bv:swear, pr:swore, pp:sworn	jurer
bv:sweat, pr:sweat, sweated, pp:sweat, sweated	suer
bv:sweep, pr:swept, pp:swept	balayer
bv:swell, pr:swelled, sweated, pp:swollen	gonfler, enfler
bv:swim, pr:swam, pp:swum	nager
bv:swing, pr:swung, pp:swung	se balancer
bv:take, pr:took, pp:taken	prendre
bv:teach, pr:taught, pp:taught	enseigner
bv:tear, pr:tore, pp:torn	déchirer
bv:tell, pr:told, pp:told	dire, raconter
bv:think, pr:thought, pp:thought	penser
bv:thrive, pr:throve, thrived, pp:thriven, thrived	prospérer
bv:throw, pr:threw, pp:thrown	jeter
bv:thrust, pr:thrust, pp:thrust	enfoncer
bv:tread, pr:trod, pp:trodden	piétiner quelque chose
bv:typeset, pr:typeset, pp:typeset	composer
bv:undergo, pr:underwent, pp:undergone	subir
bv:understand, pr:understood, pp:understood	comprendre
bv:wake, pr:woke, pp:woken	réveiller
bv:wear, pr:wore, pp:worn	porter (avoir sur soi)
bv:weep, pr:wept, pp:wept	pleurer
bv:wet, pr:wet, wetted, pp:wet, wetted	mouiller
bv:win, pr:won, pp:won	gagner
bv:wind, pr:wound, pp:wound	enrouler, remonter
bv:withdraw, pr:withdrew, pp:withdrawn	se retirer
bv:wring, pr:wrung, pp:wrung	tordre
bv:write, pr:wrote, pp:written	écrire
